type,arrival time,process_time0,process_time1,process_time2,process_time3,due dates
5.0,9.0,63.916783328007924,63.560887723702976,66.58147750071714,66.76828105620052,166.5
13.0,10.0,44.45376743622181,52.95120060338979,49.23686856203003,50.45052853565302,135.0
15.0,10.0,15.699385019972375,16.56422940144557,13.835249842278829,17.175534939479537,52.5
11.0,16.0,42.22793527779504,42.648259802534064,40.45119776927192,43.489491848695856,118.5
3.0,17.0,60.74963613505221,61.21255289235533,56.75151040469582,60.25110180190234,167.0
12.0,18.0,52.30760089239153,52.15052833077244,48.98956228246567,52.68259116548147,143.0
6.0,20.0,10.531057378287503,13.620566337198891,8.690461023422941,12.141943816049029,52.5
4.0,21.0,49.01169199272238,44.51112785732114,49.68910630599038,45.728394771411516,138.5
8.0,22.0,72.48228656514114,73.32091200524276,76.75853346004664,72.26424955548869,207.0
1.0,24.0,21.48812406648483,24.089627172616694,25.3733398924471,22.52485310278366,86.5
7.0,28.0,56.0078391441177,58.284896088154646,54.096204771409454,55.47378034986975,170.5
10.0,30.0,16.66382160240736,21.454159507091145,20.618303468815068,21.93354004382657,77.5
2.0,34.0,30.99289095500827,32.036916619951576,34.50829959380719,34.72774109251443,119.0
9.0,34.0,33.16306028297885,35.912728556673756,33.01854210084929,37.47360506731804,121.5
14.0,35.0,49.06907570050653,42.77154444207116,45.5268964455997,49.62347303511184,150.0
