type,arrival time,process_time0,process_time1,process_time2,process_time3,due dates
3.0,2.0,33.62844674126253,32.084020569005226,34.329114209667814,34.27030388394428,89.5
5.0,2.0,94.31162863388406,95.05964558728994,93.515223623995,94.73270103844118,239.5
2.0,3.0,68.61585288984706,69.47324153864703,69.16587013392078,71.07263528329946,178.0
9.0,6.0,63.16850243055722,65.94118396893744,64.64515662043455,65.49520420111486,168.5
10.0,8.0,55.734642697879764,54.76180553204478,57.50827866252948,55.23024232170461,150.5
11.0,12.0,54.73524945408531,51.092381808368025,49.76215146760988,53.99464596279685,144.5
7.0,14.0,44.67164928995347,47.49230163032593,42.58299779781051,40.16913639846461,124.0
6.0,18.0,88.73230463878167,92.55150839970979,90.19442891522321,89.53409657620183,245.5
14.0,20.0,59.3470156068239,62.91560366543282,61.596758146171304,62.136528847433766,175.0
15.0,24.0,16.179252462864575,13.392196678157712,15.513698358146918,12.696494666404341,59.0
13.0,25.0,40.78048538796427,42.35931448647785,40.441210924364555,39.89151192892765,130.0
1.0,26.0,51.40574771955683,52.96838456546835,51.893054102436246,50.38306817983469,158.5
8.0,26.0,19.415280648689883,22.014531392422246,18.760076610220377,16.217433412007658,76.0
12.0,32.0,31.438742327005276,30.109354335099606,31.528762687178396,30.611598497230982,112.0
4.0,36.0,28.33385571324869,27.075802491904472,27.625860041000116,27.67436609609127,103.5
