type,arrival time,process_time0,process_time1,process_time2,process_time3,due dates
9.0,3.0,68.31338825352438,65.35339893964824,65.65653233555086,62.470107461054546,168.0
12.0,3.0,63.830934273010115,63.53650163310678,64.1064108311735,61.991457612448656,163.0
5.0,4.0,18.320991089067768,19.856364149361518,22.657252858176165,18.03340893400598,54.0
6.0,9.0,79.46369182617595,79.071532989661,78.76512133986769,82.31336060969416,206.5
15.0,10.0,54.822559359041506,50.676413677824534,52.4447573254413,51.16696316409824,145.0
2.0,11.0,27.716473286365208,26.357028412591212,27.491636456379048,24.04534960258743,76.0
14.0,11.0,70.90741802552608,69.59218125962195,66.53808821570391,68.97803341013505,183.5
3.0,12.0,19.302061666514465,20.337849961662997,21.74541362985762,20.254144567288332,62.0
7.0,12.0,17.987288824901697,20.255772106511966,18.809632933525958,12.458170538315562,57.0
11.0,13.0,94.15268464380323,95.41957218641811,92.68807298701863,98.14104256800415,248.0
8.0,14.0,41.204198418082306,41.53111251895055,40.748525287970125,42.865391390268094,119.0
1.0,20.0,19.7016002094621,22.99990614950876,19.808502265833233,24.036739665358112,75.0
13.0,27.0,28.310390491816204,29.345233648854908,30.255723924126873,29.203892478163972,99.5
10.0,32.0,38.67034311806421,36.004758312778584,38.51392186005981,38.94329976416698,129.5
4.0,36.0,86.90471338659329,84.20194577877213,82.55750974605812,83.81182451746054,251.0
