type,arrival time,process_time0,process_time1,process_time2,process_time3,due dates
6.0,3.0,75.38220653670237,72.23720412548111,76.74820123561369,73.31110411487313,193.0
9.0,3.0,66.57977672255582,61.473601841329994,66.53579429753466,64.79102505556196,163.0
3.0,5.0,60.96422117694133,57.65724121196524,57.707852196676356,58.4190600366319,155.0
8.0,6.0,36.15187234611823,39.49698933914672,36.14859200300591,36.44206985880948,103.5
5.0,10.0,89.94569162435691,91.57035318856742,86.9096216866663,88.26267182142676,232.5
13.0,13.0,11.086946120674572,9.648642754751608,9.381535193071471,11.704982301780195,38.0
11.0,16.0,23.573174724187652,29.58983653566807,28.760320333276923,30.05381859767675,86.0
2.0,18.0,58.843639345568796,64.84905815246681,58.75149180673155,60.91686072208076,165.5
15.0,20.0,35.36208646944754,35.20472998954067,35.83861464790879,36.79904846526319,110.0
10.0,25.0,73.96286913893225,69.31497059666799,69.90181228702677,72.03387990452266,205.0
7.0,27.0,100.36971564962428,96.8831301567634,97.08614719064582,99.40707399240641,274.5
14.0,27.0,78.94631316892445,74.861790111923,80.84790388280338,82.017327322526,229.5
1.0,33.0,44.512255697185054,46.76930592756018,43.27506618192436,43.995827880478814,145.5
4.0,34.0,61.354483176199594,64.15035742743424,57.228276120286935,62.02920059292662,186.5
12.0,34.0,30.01390165059136,32.57526094905338,32.59595314534234,32.8265589962128,111.5
