type,arrival time,process_time0,process_time1,process_time2,process_time3,due dates
2.0,2.0,74.58963014373022,68.56637724723693,75.30630671068867,70.1493880644047,182.0
12.0,2.0,47.50328936497436,45.67212397997865,48.7727596415914,46.01200316240304,122.0
15.0,2.0,97.31556907069667,96.39593800865491,94.15230840126904,94.56121703711186,244.5
5.0,3.0,25.751245861341722,26.615371646680476,24.7513070681768,27.774932782854417,65.5
14.0,3.0,53.301904108045946,55.947098328368135,52.988143113209176,55.47652003151261,140.5
1.0,4.0,40.3440257658843,34.611306295694604,36.30630032532636,35.44587746197243,96.5
3.0,7.0,42.69288902810079,41.267390836558306,42.46533216681502,42.52006511817814,112.0
6.0,8.0,94.64382805035561,90.97738334454706,88.19341860466497,90.01138779504221,240.5
7.0,11.0,53.934332439695915,49.60109106101312,52.38219079468904,54.250758537564614,141.0
4.0,12.0,67.71707208912116,67.87605645365707,68.11775533923192,67.65399097156516,179.5
9.0,12.0,70.79399311623347,74.01744358043736,74.10174890387839,71.50037459127664,194.5
8.0,24.0,84.86655482992997,87.26333805496586,81.60755359508241,80.93703819338889,229.0
13.0,24.0,78.56202976823573,81.30095627903606,80.84430209877793,80.57039107053579,226.5
10.0,25.0,72.17244232658064,71.49133348495324,70.39060367306544,69.25223616253443,202.5
11.0,27.0,67.2143549790551,69.46080540896185,71.00310776010019,67.29779209863625,202.0
