0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,4,17,13,3,6,9,12,11,15,14,2,19,10,5
3,0,8,10,15,16,15,6,16,7,19,1,17,14,17
14,1,0,8,4,16,2,8,14,18,9,4,11,1,15
2,11,12,0,14,18,4,5,6,11,5,13,2,2,3
13,14,14,16,0,13,18,17,1,7,9,8,15,12,17
12,4,11,3,14,0,3,6,1,8,2,5,19,8,18
6,2,4,4,15,15,0,4,3,4,13,16,14,6,4
9,12,3,9,13,9,15,0,5,18,12,17,10,16,2
5,2,9,16,18,17,7,3,0,15,3,2,2,2,19
19,4,19,3,15,7,16,3,10,0,19,10,11,4,3
14,11,14,4,13,10,8,18,18,3,0,3,1,5,9
11,6,11,19,16,19,10,14,6,9,17,0,10,3,12
4,15,6,11,14,11,14,10,5,8,10,3,0,11,7
15,9,9,15,1,7,9,9,19,11,8,7,18,0,11
17,18,16,10,4,1,19,7,11,6,3,12,14,1,0
