0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,4,1,9,15,18,3,3,6,7,15,16,5,9,9
4,0,19,10,10,17,4,8,18,3,14,8,3,19,8
11,19,0,19,2,8,1,18,3,3,15,8,17,18,11
9,7,10,0,12,12,3,4,12,13,9,15,6,7,9
7,15,11,9,0,5,2,9,11,14,18,11,2,14,13
11,3,11,5,18,0,17,5,8,3,1,9,13,5,17
8,8,13,15,13,13,0,18,8,6,4,16,5,6,16
12,11,6,10,6,15,7,0,2,3,10,16,4,2,14
12,12,7,4,16,9,19,19,0,3,9,7,17,17,9
13,3,19,9,6,7,1,4,18,0,12,13,8,1,8
17,1,3,10,19,5,4,13,18,19,0,19,16,4,5
1,5,19,6,7,1,1,9,3,18,17,0,18,12,7
13,18,18,13,11,17,3,2,3,4,19,1,0,3,3
16,9,8,17,15,12,17,14,5,18,14,19,5,0,19
2,14,7,19,11,7,11,7,3,12,11,11,15,16,0
