0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,14,12,18,6,2,14,7,2,11,19,1,5,18,18
8,0,19,16,2,11,9,4,3,4,12,15,15,2,13
12,17,0,17,17,8,18,11,3,19,1,8,17,8,16
5,16,15,0,14,16,2,1,8,19,14,6,5,5,12
19,16,7,3,0,2,17,1,4,15,7,17,10,14,12
1,4,14,11,3,0,6,13,10,4,18,15,12,16,5
2,6,11,18,1,16,0,15,4,5,2,13,12,13,10
7,12,2,13,13,10,1,0,16,5,6,10,13,17,11
7,7,18,2,18,6,7,10,0,2,18,12,4,12,19
8,12,8,1,6,11,14,4,3,0,13,13,6,14,6
11,8,9,4,18,8,3,3,16,6,0,12,18,14,11
6,18,15,7,6,10,7,17,14,1,2,0,16,8,3
11,17,12,17,11,8,10,5,14,1,12,7,0,15,4
19,18,19,16,15,15,11,9,18,4,17,10,19,0,11
13,6,18,12,9,4,19,13,3,7,6,12,13,12,0
