0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,2,8,6,7,14,15,17,6,16,15,12,6,10,1
3,0,15,2,2,1,5,9,13,18,18,18,2,7,11
11,19,0,10,9,18,11,17,13,7,19,18,12,4,8
10,6,1,0,5,16,13,15,2,10,16,17,7,4,13
19,11,17,12,0,12,7,8,1,18,9,15,11,19,11
15,7,15,9,15,0,8,3,6,2,1,10,6,11,13
5,6,10,10,5,19,0,3,14,2,10,7,3,5,15
1,6,16,9,15,15,11,0,6,7,11,5,19,3,2
6,16,5,17,4,18,3,12,0,11,14,19,16,11,11
17,12,18,14,12,1,15,14,18,0,11,4,10,7,3
14,14,3,8,9,4,5,19,6,14,0,9,15,12,13
19,8,14,6,6,12,3,10,14,14,5,0,5,15,6
16,12,11,17,7,9,5,8,10,7,19,9,0,7,8
5,14,14,18,17,7,5,14,2,2,11,3,17,0,15
6,4,8,6,8,11,3,4,4,6,2,14,17,12,0
