0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,4,17,14,12,2,12,15,16,10,19,4,11,17,2
14,0,8,6,6,5,17,8,19,14,8,1,4,6,14
14,8,0,5,10,12,1,6,16,10,8,1,11,12,1
9,16,2,0,14,19,7,11,5,7,5,15,10,13,15
10,17,17,15,0,19,8,19,11,6,19,14,14,10,14
6,4,10,5,14,0,19,7,4,5,15,9,12,3,2
18,12,7,7,2,17,0,19,15,9,4,10,14,19,13
12,6,14,11,15,7,19,0,4,15,12,6,7,5,3
18,9,14,11,18,18,16,17,0,13,6,3,9,2,8
6,17,14,17,16,10,1,1,3,0,9,2,3,6,6
13,13,8,14,12,13,12,11,6,13,0,1,1,1,9
19,16,14,14,12,5,4,2,7,6,7,0,8,14,2
4,13,13,18,6,11,7,4,11,5,15,4,0,10,6
15,2,17,19,14,3,1,1,7,15,4,13,2,0,11
12,9,6,5,5,3,6,12,17,8,5,9,9,5,0
