0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,1,13,6,18,10,3,10,15,9,1,18,12,1,7
9,0,12,13,17,8,2,9,13,11,7,11,9,4,15
18,6,0,14,18,3,16,4,2,2,17,9,11,6,10
5,5,6,0,5,14,4,8,2,4,19,19,17,7,8
5,2,1,6,0,16,19,18,14,6,4,17,13,8,10
5,17,5,14,9,0,14,7,17,18,1,16,13,11,13
10,2,15,5,17,17,0,11,12,17,11,11,7,8,6
6,9,5,13,19,17,5,0,10,13,15,13,10,8,19
18,19,10,13,11,8,7,3,0,6,16,7,19,2,9
9,16,7,6,8,12,17,1,9,0,8,16,12,18,19
17,3,5,19,9,8,13,15,2,15,0,4,14,9,19
16,1,6,2,18,19,12,12,3,12,7,0,2,6,7
13,2,2,1,6,3,3,18,10,15,10,6,0,6,6
5,18,2,9,3,7,11,12,4,3,4,16,3,0,3
8,12,4,5,1,18,6,2,13,17,12,17,16,12,0
