0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,19,6,9,9,11,17,4,3,6,17,3,15,14,10
19,0,17,14,12,17,5,18,5,2,5,3,10,7,16
15,9,0,2,3,3,19,10,7,11,19,15,10,19,6
3,18,14,0,14,19,19,10,12,7,7,1,18,3,18
17,13,10,16,0,18,19,1,2,3,11,16,8,12,15
13,9,14,11,18,0,5,9,7,2,3,10,19,9,7
7,15,16,1,16,6,0,18,5,9,9,1,10,9,18
16,1,17,15,13,12,12,0,7,8,6,11,7,2,14
2,1,10,4,13,19,18,19,0,10,14,2,10,13,12
16,10,2,10,4,10,5,15,2,0,13,10,6,4,5
19,12,5,2,16,7,5,9,11,5,0,12,3,16,6
2,1,12,8,8,9,17,9,3,15,18,0,9,15,1
8,19,5,8,3,4,15,19,18,16,16,19,0,14,18
14,12,4,8,9,6,17,13,10,9,17,2,2,0,16
7,16,16,10,19,5,6,4,5,10,3,18,14,9,0
