type,arrival time,process_time0,process_time1,process_time2,process_time3,due dates
14.0,1.0,51.70225707091969,50.884594928031035,52.975218786358134,54.37800807835581,128.5
2.0,3.0,90.10508071128281,91.67746924097621,90.15968430720856,87.85709993388419,233.0
5.0,5.0,23.52952938531262,22.43646585099386,24.054048381509993,22.171051940911013,60.0
12.0,9.0,75.03762450681975,75.80600072666336,72.18924403670134,77.02810724920195,196.5
11.0,10.0,43.575097699927795,45.98776066589382,45.50112009984407,45.63199185690632,120.0
6.0,13.0,25.737626223630425,24.452475408685398,24.879004610508854,23.254456065099415,75.5
7.0,21.0,61.21425282909243,59.8988817490041,58.065158149861695,60.320181788887936,168.5
9.0,23.0,36.9630502098041,37.32277824972956,38.750413996331964,36.562329761666255,120.5
13.0,23.0,91.6486922850625,96.27448277973156,92.4693865061327,90.18181033173838,253.0
4.0,24.0,40.0573872061784,38.83080809069067,38.49550993362332,40.098775741009156,126.5
8.0,25.0,30.9699762013726,30.92903780803259,27.963920386652102,28.85923082267326,95.0
15.0,29.0,54.17835565627437,54.554471539613196,55.689504284570305,51.2808639807955,166.5
3.0,33.0,42.750377677348105,42.41320587092722,38.885521603861605,41.36051701734079,133.0
1.0,34.0,33.77017182849553,32.82466176112218,32.340286176652675,33.90988328600613,119.0
10.0,36.0,79.79028469781714,73.81488542077096,70.79762386454749,75.2263269856969,223.5
