0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,10,2,15,18,10,2,8,17,12,13,7,16,1,13
12,0,12,8,16,18,3,9,18,13,15,7,6,10,18
16,2,0,8,4,12,11,17,12,18,18,6,2,13,6
9,13,14,0,10,5,11,8,8,14,1,11,4,3,15
16,11,13,9,0,17,16,19,10,19,8,13,11,9,13
6,16,13,19,2,0,8,9,9,16,19,12,8,15,3
9,18,6,17,16,5,0,16,18,16,17,16,19,1,4
13,12,11,8,12,4,17,0,17,5,10,10,14,11,6
9,10,15,11,9,12,18,11,0,5,4,2,18,4,7
4,10,13,1,15,1,10,5,3,0,1,9,2,8,4
3,14,19,18,16,6,15,4,19,4,0,4,14,19,12
9,7,8,2,15,6,7,13,3,19,8,0,15,6,16
13,8,1,8,17,1,11,3,11,7,19,9,0,17,13
7,13,10,7,5,3,8,5,17,13,7,11,18,0,15
1,17,5,2,5,16,17,2,1,12,11,13,11,4,0
