0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,2,18,18,8,5,11,9,19,4,9,19,10,8,4
5,0,15,7,12,5,6,1,8,15,18,10,13,8,12
5,8,0,4,8,17,2,19,18,2,6,5,17,6,15
19,12,15,0,9,12,5,14,6,17,11,7,5,18,19
18,17,6,7,0,2,10,19,9,15,18,8,8,9,13
4,1,17,2,2,0,3,4,8,4,2,6,9,10,6
10,7,4,4,15,17,0,2,19,17,11,4,3,10,8
12,15,3,13,9,18,12,0,4,2,15,7,2,7,1
9,8,17,4,5,18,8,7,0,19,5,2,16,5,9
12,13,16,18,13,9,6,11,19,0,16,17,4,2,4
2,2,6,16,6,19,8,11,19,8,0,8,9,15,16
10,9,19,5,11,4,13,18,16,11,15,0,9,19,4
19,3,16,5,4,7,1,1,2,3,12,17,0,9,2
7,17,13,11,14,8,6,5,1,13,15,19,10,0,18
15,5,8,4,14,2,5,17,3,17,7,13,17,15,0
