0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,7,9,5,2,16,1,17,8,8,12,12,5,13,8
8,0,16,13,15,19,4,7,7,2,15,7,6,7,18
12,6,0,17,6,1,5,6,19,14,19,11,8,13,2
9,18,13,0,19,7,14,17,3,6,15,16,11,10,10
15,19,16,17,0,8,12,8,5,2,9,2,13,12,14
10,16,7,10,11,0,5,6,5,3,12,11,6,10,14
1,15,18,19,3,14,0,5,16,16,14,8,19,10,16
1,11,6,13,9,10,11,0,12,9,17,5,7,2,2
15,5,5,7,18,11,11,8,0,11,8,15,8,8,6
2,11,1,4,16,17,7,19,17,0,2,11,19,6,1
15,12,8,5,2,16,7,16,8,6,0,18,11,17,6
12,18,2,7,12,7,3,16,10,7,8,0,1,15,7
17,12,16,1,7,17,15,12,10,6,15,9,0,2,16
4,11,9,4,15,9,17,15,19,4,6,7,11,0,19
14,4,10,2,5,11,3,7,4,5,17,16,9,9,0
