type,arrival time,process_time0,process_time1,process_time2,process_time3,due dates
15.0,1.0,52.17352368088959,57.84481932570888,55.05048683270011,56.08606770520226,133.5
9.0,4.0,81.83744742337616,86.95279078129626,86.49185482413979,91.23261286819802,219.0
4.0,15.0,22.183394154662444,26.18396956722099,23.970998996934505,23.170400770046815,75.0
8.0,15.0,72.10301945828225,72.63086629623758,71.66873509212806,72.03561331060631,195.0
6.0,16.0,17.207171292676303,12.767600086095502,13.258886914071756,13.822424983445124,53.5
10.0,16.0,57.01479648332902,56.03584969284595,52.67455471738429,58.02094662993295,158.5
3.0,21.0,10.587576291399575,15.238057983907426,9.411708800834687,14.956842093956407,53.5
14.0,24.0,30.74125395504007,30.381740515146674,31.87136123319521,31.360825491668,99.0
7.0,25.0,77.98398972913904,74.64909250996415,75.93194219569683,75.46792654151979,212.5
5.0,26.0,68.01933663200488,65.8508903307633,63.94168820831298,65.01450784856891,193.5
11.0,29.0,58.46453642974532,61.208435858554495,58.4945839569169,60.7582235141351,176.5
13.0,30.0,15.08890179759633,16.30029035820379,15.402221012035616,14.518579730602518,70.0
12.0,31.0,48.01487972302933,50.91843202106432,48.86240354988514,48.056393048676206,151.0
1.0,34.0,23.420195664427176,24.154047762781584,27.052983030700872,22.228877252547726,91.5
2.0,34.0,18.357588561148727,16.18426174370869,15.435948946083574,19.295058247145693,79.0
