type,arrival time,process_time0,process_time1,process_time2,process_time3,due dates
11.0,1.0,61.24519868015211,61.93869147437759,63.48817753703695,64.96364725524568,158.5
9.0,2.0,94.04298995712182,93.19359960507873,93.76524674752632,93.45562193581385,237.0
12.0,6.0,72.9018438223282,69.1831868667792,71.09746513456206,70.76543023391517,183.5
10.0,7.0,39.67473253086978,41.28675979781151,39.33639464276342,43.79566215476047,107.0
7.0,8.0,19.827195603170537,13.140248018580037,13.88929859495334,16.795874958754926,43.0
6.0,10.0,99.43564564865535,100.18453990694039,100.10710341909402,97.18674476336669,255.0
4.0,12.0,40.97523638235986,38.94535004209621,35.62280296763058,38.77870686911055,107.0
5.0,15.0,8.5466625618456,7.279863122137427,13.581339026723402,12.450824603793514,42.5
14.0,18.0,99.76335939876103,97.70424906233252,95.5935914746098,95.42502922206741,260.5
8.0,19.0,66.96013622060323,67.87503052475807,65.22895168572525,66.21496520143006,184.0
2.0,20.0,73.18390246763676,76.05049437229286,76.27597219854644,77.17547370841692,207.5
3.0,21.0,64.63458466808797,58.55276362417695,62.59276330199534,63.51599702951347,176.0
1.0,23.0,68.06374996653378,67.86804043221271,67.03189417349567,69.74560050867713,195.5
13.0,28.0,47.68986168105672,51.174511241965284,44.329737211433375,49.57611725070481,148.0
15.0,28.0,45.325039047573625,42.233485148398,44.24161280444601,45.070828141043144,140.5
