0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,11,18,17,15,16,14,15,16,7,3,5,11,13,17
13,0,5,18,1,1,7,3,3,15,11,14,14,4,5
19,5,0,9,15,4,17,13,11,15,3,16,19,4,7
15,13,3,0,7,14,8,5,15,17,18,13,19,18,10
8,14,15,19,0,8,2,8,4,7,14,3,11,16,2
3,2,11,16,8,0,11,7,18,15,14,9,3,19,4
13,5,16,6,19,7,0,7,17,8,19,10,15,5,17
12,15,11,16,10,2,16,0,4,5,17,5,9,5,17
3,18,18,12,5,15,9,11,0,12,18,16,11,6,19
19,2,1,11,14,7,16,6,6,0,13,4,9,15,19
5,6,12,15,7,4,10,3,7,1,0,10,19,7,2
5,12,14,10,8,12,10,18,8,18,10,0,9,19,6
8,6,10,14,9,4,18,5,11,11,5,16,0,7,6
15,16,19,9,12,4,8,8,5,18,1,7,3,0,11
12,15,9,1,4,13,18,9,15,11,18,8,6,3,0
