0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,17,18,13,16,15,6,12,4,4,4,12,15,15,17
3,0,17,5,14,9,7,8,12,12,5,5,11,13,4
7,15,0,19,7,19,11,7,14,12,11,6,1,4,7
11,5,17,0,5,6,9,15,2,4,9,12,15,8,11
10,13,9,17,0,16,16,14,5,15,3,17,18,5,7
19,17,10,3,13,0,15,2,5,5,16,16,10,5,10
4,15,9,15,11,2,0,8,13,17,7,1,13,13,11
2,2,18,18,15,19,7,0,12,7,4,4,13,19,15
16,9,13,2,11,13,16,14,0,16,16,19,11,18,17
14,17,1,1,18,17,14,2,16,0,11,8,12,10,13
12,5,2,19,9,15,7,12,1,12,0,7,18,15,4
8,18,11,5,19,10,14,1,10,12,5,0,1,19,13
17,17,17,5,8,3,15,16,9,10,18,6,0,1,15
11,16,11,16,4,9,14,13,19,11,17,6,8,0,3
14,19,6,12,19,14,13,2,15,2,8,13,15,10,0
