0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,5,18,13,19,5,1,1,1,14,5,10,12,15,12
12,0,2,14,3,19,19,9,17,1,8,18,12,2,11
4,10,0,15,5,12,17,18,19,12,4,6,18,6,9
1,5,10,0,14,9,11,2,13,9,5,6,16,5,11
6,8,15,11,0,4,6,10,2,17,13,16,2,12,9
7,7,9,6,6,0,17,11,6,3,15,10,6,12,2
15,9,10,8,10,11,0,16,1,19,3,9,17,17,1
16,15,12,17,11,7,9,0,2,14,18,18,11,11,7
2,13,17,10,11,16,1,4,0,9,7,14,4,9,16
3,16,18,8,15,13,9,13,5,0,4,9,11,18,11
19,1,8,18,1,11,14,2,8,14,0,14,2,17,10
4,18,13,5,14,15,19,17,15,11,10,0,17,10,7
7,13,6,8,12,16,15,16,12,19,13,6,0,18,3
7,6,6,16,7,15,10,3,10,3,3,7,1,0,13
10,5,3,8,9,19,15,13,9,18,14,6,11,4,0
