0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,3,10,19,10,18,1,3,3,18,3,10,1,11,16
11,0,19,12,4,3,18,7,18,7,4,11,13,15,10
5,4,0,11,1,3,16,11,5,6,14,2,11,1,7
15,1,1,0,13,16,1,1,5,15,8,13,7,6,9
17,17,12,14,0,6,2,5,12,2,2,4,13,19,2
15,17,2,11,1,0,4,10,2,13,17,11,3,7,3
17,19,5,8,13,11,0,2,14,16,1,17,2,9,12
9,11,16,5,2,1,18,0,12,3,4,7,1,11,1
18,2,3,18,6,17,15,9,0,15,8,2,15,12,12
16,17,6,7,9,9,10,11,12,0,7,2,16,5,11
13,9,4,3,13,13,6,12,10,7,0,11,17,18,17
10,12,19,18,19,2,5,18,3,5,12,0,3,2,9
13,16,3,13,16,9,17,17,17,12,15,7,0,15,13
2,4,14,8,19,13,8,4,10,2,2,12,12,0,6
18,4,15,17,15,1,2,15,7,12,16,19,9,4,0
