0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,17,16,4,16,13,9,3,16,7,17,12,12,2,6
5,0,16,11,19,8,10,8,13,11,19,2,7,1,16
5,3,0,4,12,18,8,11,14,16,10,14,7,1,19
5,3,6,0,13,13,7,8,13,9,7,4,14,9,3
12,19,16,14,0,17,18,10,18,4,11,4,15,7,5
18,13,17,4,14,0,1,12,12,4,2,6,10,6,16
6,10,17,1,15,2,0,5,8,15,2,8,10,7,15
8,9,5,3,5,8,18,0,8,9,4,15,15,2,7
3,14,17,1,12,3,13,19,0,13,14,17,16,4,4
7,2,14,6,8,2,8,13,18,0,14,19,15,15,16
11,15,6,13,1,15,2,19,5,6,0,12,16,4,11
11,6,8,9,10,17,2,4,17,18,15,0,2,5,9
17,6,13,5,17,4,14,5,10,19,15,18,0,7,7
10,4,4,5,17,10,13,3,17,1,13,6,18,0,15
18,14,2,8,5,3,1,4,19,1,12,14,1,11,0
