0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,3,18,3,10,4,4,14,11,14,17,16,13,10,19
19,0,7,7,13,11,10,5,9,19,3,18,15,9,14
6,4,0,7,17,19,13,4,6,17,19,12,3,7,6
4,12,3,0,7,10,11,18,3,15,4,2,6,17,19
1,4,11,4,0,13,11,7,13,13,11,5,13,4,13
17,5,18,16,10,0,3,17,8,19,9,6,19,13,1
1,8,8,7,8,4,0,14,2,4,7,17,3,15,9
8,4,19,14,1,16,11,0,12,5,6,2,4,1,9
6,10,18,11,18,9,9,11,0,13,6,19,9,7,5
13,18,13,2,5,1,6,11,18,0,2,14,5,13,12
13,8,12,2,16,12,14,13,10,1,0,1,11,16,14
14,14,11,15,17,1,19,2,7,10,18,0,6,9,10
14,6,16,4,9,10,9,8,5,17,5,8,0,13,14
11,17,1,11,14,1,16,16,8,18,2,2,10,0,19
4,9,6,17,14,4,6,13,5,8,6,5,19,13,0
