0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,3,5,15,17,10,9,19,18,10,9,13,3,6,2
8,0,7,6,14,18,9,4,15,3,14,3,1,19,12
11,5,0,15,15,10,18,7,17,7,16,15,8,7,15
1,9,7,0,12,2,17,4,4,8,15,10,16,13,5
3,6,5,9,0,10,8,15,11,13,5,8,5,13,5
5,17,13,7,16,0,13,1,19,4,5,18,10,16,3
2,19,3,8,4,4,0,14,16,11,15,6,14,3,9
9,4,14,4,6,18,15,0,1,10,10,1,9,7,9
8,18,7,1,10,6,13,6,0,14,7,4,7,19,16
2,7,10,17,7,12,15,19,1,0,4,10,8,12,10
1,11,1,18,18,9,10,3,8,2,0,2,5,8,19
8,11,3,16,6,8,13,15,8,10,10,0,1,6,2
18,16,12,1,12,1,3,7,2,12,11,4,0,3,14
3,5,10,14,10,16,11,9,3,12,16,1,9,0,16
10,11,3,3,2,14,4,10,12,13,8,18,19,4,0
