0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,18,19,1,17,15,19,5,15,12,7,18,3,14,9
7,0,17,8,3,17,8,5,5,19,9,10,15,18,16
19,4,0,14,18,2,5,18,11,1,2,11,5,4,12
1,2,6,0,9,3,11,1,9,4,16,18,6,13,2
19,4,2,19,0,2,8,17,12,14,9,8,4,14,3
6,1,10,1,17,0,11,5,4,18,9,7,4,6,2
13,7,14,9,9,14,0,19,4,3,18,2,12,8,14
10,7,19,13,12,6,19,0,1,7,14,12,14,10,16
8,8,9,16,9,18,4,14,0,18,9,10,14,6,4
9,19,4,17,10,5,5,5,7,0,5,5,3,14,19
3,3,17,12,13,7,12,14,15,13,0,17,4,13,8
5,4,18,18,3,18,2,12,6,14,7,0,7,5,18
2,18,6,7,10,3,13,6,4,5,1,14,0,14,4
9,8,9,5,15,7,7,12,6,8,10,18,15,0,7
12,11,16,8,8,4,2,15,12,6,12,3,10,19,0
