0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,14,18,14,6,10,2,14,1,5,1,1,11,19,12
5,0,17,11,1,18,3,16,7,15,1,9,18,5,17
16,11,0,2,16,11,13,11,15,18,19,1,16,18,8
5,2,5,0,9,13,19,19,11,9,1,13,2,16,2
6,16,13,7,0,15,10,2,13,12,8,9,7,9,10
18,3,6,14,15,0,4,2,16,14,15,12,18,6,1
9,7,11,16,5,6,0,9,14,11,6,7,3,2,14
3,14,6,14,6,19,16,0,19,2,7,11,6,7,13
2,4,5,13,8,7,19,12,0,3,3,16,7,1,2
14,15,7,15,3,2,8,4,12,0,15,7,8,10,14
3,15,18,11,4,8,9,6,16,4,0,17,17,16,3
11,5,12,1,16,9,16,14,7,18,9,0,18,10,10
10,5,11,9,12,7,11,7,5,19,10,4,0,18,6
11,11,6,5,1,15,11,16,7,14,11,4,15,0,13
11,3,8,6,14,18,2,8,10,9,10,18,4,11,0
