0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,5,15,6,17,14,6,2,8,4,13,14,5,1,9
12,0,7,7,11,17,3,14,19,18,11,18,3,13,10
11,5,0,19,8,4,19,18,17,6,2,17,12,11,18
8,10,18,0,11,12,3,5,5,18,14,11,14,6,7
6,10,4,2,0,7,13,11,9,10,6,16,11,11,7
19,14,18,11,10,0,7,18,4,2,18,2,13,8,5
15,6,1,10,5,12,0,6,4,9,10,1,12,13,11
14,12,3,18,13,13,12,0,18,17,5,2,3,13,10
13,14,15,17,19,17,16,18,0,10,13,6,19,14,6
12,19,13,12,15,6,19,10,14,0,19,14,6,11,2
1,13,16,19,7,18,9,16,7,18,0,4,13,12,9
1,7,13,2,3,1,9,10,1,2,11,0,7,7,18
6,1,10,17,8,9,11,17,17,14,5,11,0,11,16
12,9,11,14,7,1,7,12,16,1,7,5,2,0,1
8,19,10,4,11,18,19,14,8,4,17,6,13,15,0
