0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,14,1,13,8,18,11,19,8,9,13,13,12,9,10
2,0,13,6,11,5,16,11,3,3,11,17,1,12,6
1,12,0,13,9,8,17,17,12,16,18,5,19,11,18
18,1,12,0,1,8,18,12,17,10,5,13,14,8,3
6,19,7,11,0,4,12,17,3,14,18,15,4,2,2
4,5,3,15,18,0,16,2,19,19,17,2,4,6,8
4,14,12,6,14,2,0,11,1,8,9,10,15,3,5
4,12,11,15,14,3,17,0,18,13,5,19,3,1,9
9,4,2,12,11,2,17,14,0,13,4,16,6,15,17
5,1,8,7,7,12,6,11,3,0,17,7,3,19,11
3,15,2,11,13,10,7,15,16,17,0,6,12,9,13
7,7,7,4,5,17,16,7,12,15,6,0,3,15,6
9,12,4,9,19,2,2,3,12,15,16,12,0,7,3
2,15,16,19,6,5,7,19,4,16,17,10,13,0,6
1,19,9,5,12,17,19,19,9,9,15,14,10,17,0
