0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,3,6,11,4,6,3,10,6,9,6,14,15,4,18
17,0,4,5,18,15,9,4,6,3,16,8,3,5,13
14,5,0,4,5,17,5,9,2,17,14,7,13,16,14
3,15,19,0,1,4,10,14,1,2,13,6,13,8,15
11,11,8,3,0,4,17,17,8,11,5,13,13,2,8
8,6,14,12,9,0,5,5,15,5,12,4,16,16,5
10,13,12,5,10,18,0,17,9,1,9,19,17,4,15
5,3,17,13,17,5,19,0,7,3,12,4,16,11,10
8,15,12,8,16,6,17,2,0,10,15,3,9,11,3
4,18,10,10,18,6,8,6,6,0,6,8,9,6,19
8,1,12,12,7,6,3,1,16,1,0,1,3,14,14
5,9,8,11,17,11,17,16,13,8,18,0,1,9,7
13,15,7,11,1,3,17,14,5,6,12,14,0,3,16
5,3,8,6,9,12,7,2,8,18,3,5,7,0,15
13,7,7,2,12,15,1,13,4,14,19,18,11,18,0
