0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,5,18,6,11,9,4,4,11,8,7,15,17,6,9
10,0,19,18,8,4,15,8,3,17,14,3,2,5,8
9,14,0,1,18,10,19,9,1,9,7,11,6,15,11
2,4,13,0,3,14,13,6,13,3,16,3,15,13,17
1,2,1,1,0,18,13,18,19,4,1,3,13,8,14
19,18,7,17,6,0,4,12,16,13,5,8,5,18,11
17,19,8,3,7,14,0,12,3,1,19,19,18,17,9
2,18,14,3,17,13,15,0,6,6,7,11,1,6,16
5,6,16,8,3,13,7,15,0,3,18,14,2,1,9
12,1,1,1,4,3,6,15,3,0,2,11,18,7,15
11,7,7,6,19,8,15,9,13,18,0,15,1,4,5
12,9,18,15,16,10,13,6,10,2,6,0,16,10,3
16,14,5,18,7,10,13,5,2,6,1,8,0,17,18
14,1,11,5,2,8,1,4,14,4,19,4,1,0,8
6,5,5,11,13,12,8,1,8,10,8,15,10,15,0
