0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,12,10,3,11,3,3,8,10,17,19,8,6,12,11
5,0,13,13,1,12,4,1,11,10,12,7,17,7,18
6,15,0,14,14,13,7,2,9,17,8,10,6,6,8
13,5,6,0,14,15,18,13,14,8,11,4,16,10,12
2,3,15,1,0,5,16,14,11,4,6,10,2,19,7
1,1,8,9,13,0,10,2,16,2,7,12,6,18,16
18,7,7,3,10,5,0,15,3,16,6,7,1,4,12
13,5,7,5,16,11,4,0,2,1,14,19,5,10,3
8,16,12,10,16,1,12,16,0,16,5,10,1,3,16
2,17,18,16,18,13,1,18,5,0,13,2,11,12,2
6,5,19,15,17,12,13,9,1,2,0,12,7,1,18
19,9,1,12,10,11,12,7,10,13,9,0,13,15,9
8,5,16,9,8,16,3,2,10,4,13,16,0,13,9
15,6,6,17,13,2,19,6,13,1,7,4,8,0,6
19,3,2,15,11,17,17,3,9,12,3,10,11,12,0
