0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,9,16,16,4,2,9,12,18,6,11,1,8,13,1
1,0,13,18,17,13,16,17,17,5,19,7,18,11,8
3,16,0,17,14,18,9,19,2,13,1,9,16,9,11
13,19,16,0,12,11,14,8,8,9,15,10,19,14,14
2,10,15,1,0,16,8,4,13,8,8,15,10,18,3
1,11,4,7,2,0,9,14,18,5,8,3,4,13,1
1,3,11,1,7,19,0,11,6,4,5,3,14,11,15
5,2,19,11,6,2,1,0,17,6,12,4,12,16,18
10,18,14,12,3,9,8,19,0,4,2,16,9,6,10
19,16,7,13,12,4,18,5,19,0,7,13,3,2,15
8,2,16,13,16,8,13,2,14,7,0,9,7,9,10
11,12,5,2,12,2,1,3,14,5,18,0,12,5,13
15,8,19,13,9,5,5,5,9,19,3,12,0,2,19
10,17,18,9,6,14,19,4,13,17,8,18,16,0,3
2,1,1,7,2,10,17,11,3,19,13,5,18,6,0
