0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,18,9,9,19,6,9,7,1,13,15,15,15,3,3
3,0,17,12,2,6,8,14,13,6,11,13,9,13,3
15,14,0,19,17,19,11,7,5,6,3,4,18,9,5
5,8,9,0,8,8,10,11,10,18,12,11,17,5,19
12,15,19,10,0,16,9,14,12,19,11,6,13,19,10
1,6,10,15,14,0,3,7,2,7,9,5,10,8,11
3,15,8,4,13,19,0,6,7,3,1,13,7,3,9
15,13,18,5,14,2,19,0,3,15,18,14,3,11,5
18,14,19,13,14,5,4,19,0,18,10,3,6,13,3
1,6,6,10,18,10,17,7,14,0,4,10,5,9,16
13,5,12,3,15,10,17,3,16,18,0,19,14,14,13
12,3,5,10,1,14,3,16,17,13,16,0,4,16,9
10,8,17,8,15,12,7,17,12,5,5,12,0,13,11
17,14,2,15,4,19,16,14,14,4,10,3,13,0,17
18,16,19,14,16,9,14,2,4,10,16,19,18,1,0
