0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,6,4,2,1,7,9,4,4,12,5,9,11,11,11
5,0,1,2,4,4,6,4,9,4,9,12,6,5,7
8,2,0,11,12,2,19,13,13,17,17,5,13,18,12
9,7,11,0,14,6,2,11,17,7,7,17,13,12,13
13,1,4,16,0,18,10,14,9,9,5,16,10,1,7
18,3,18,17,12,0,6,19,1,19,11,7,2,4,10
8,15,6,19,3,16,0,12,3,7,16,3,8,13,12
10,4,6,6,17,16,18,0,1,13,19,19,7,17,2
6,4,13,19,8,7,18,11,0,16,17,11,10,17,1
7,16,14,11,7,10,13,7,19,0,8,19,2,13,14
1,17,7,14,10,5,7,13,7,1,0,10,1,15,3
11,7,16,4,13,2,3,1,10,13,19,0,8,6,4
16,1,10,3,9,8,18,14,2,16,17,14,0,1,3
11,15,16,5,4,6,14,10,19,4,6,14,9,0,11
11,11,9,5,6,18,9,4,6,3,9,19,18,8,0
