0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,10,7,12,8,8,10,10,19,11,7,5,4,14,10
11,0,9,14,14,4,17,7,1,7,4,1,10,2,11
18,6,0,15,3,6,18,9,8,13,5,16,1,12,14
12,10,4,0,8,10,2,6,18,3,4,3,3,7,17
2,16,16,3,0,2,11,12,11,5,12,11,10,7,14
2,12,10,1,19,0,10,1,8,8,17,18,14,16,3
19,3,19,14,18,2,0,16,17,16,1,18,13,7,17
8,14,12,18,2,10,17,0,2,16,3,18,12,8,3
10,16,1,10,14,7,1,4,0,9,10,8,8,11,4
16,16,17,8,12,1,18,18,19,0,11,4,14,6,6
15,11,8,15,19,19,8,7,5,17,0,13,3,7,11
14,1,17,7,6,9,14,17,13,19,18,0,13,2,15
2,10,2,16,3,6,3,14,3,15,15,11,0,19,3
13,1,19,13,10,17,5,6,13,19,17,6,12,0,12
4,16,4,18,16,18,2,7,10,5,15,16,15,12,0
