type,arrival time,process_time0,process_time1,process_time2,process_time3,due dates
13.0,1.0,78.0135240467125,75.82617454439158,77.57795586294952,76.04495165663029,193.5
1.0,4.0,28.672335790976554,32.18560212775085,32.49391642027391,33.501923380756764,79.0
7.0,5.0,21.40378055984958,19.35098950001743,25.964707546727844,21.79696924523664,60.0
6.0,6.0,29.300825695129117,23.55485448984126,30.567391940698844,30.049827899337643,76.0
5.0,13.0,22.428090399793366,19.46339407368812,17.179758033848337,18.553377454926142,60.5
12.0,14.0,84.91837311419621,85.10455315545092,86.70450665713015,82.35674174863124,226.5
8.0,17.0,25.304253637825134,31.564538846005043,32.493623163199125,32.07879760079828,92.0
4.0,18.0,32.662402688508905,32.03940913783639,31.952046687096225,29.210278532902496,100.5
15.0,20.0,97.93834790974151,96.61605788532835,97.87682232126603,96.69812610690501,262.5
9.0,21.0,44.02606896698764,43.44003414001712,42.89736899585086,43.45452586058437,131.0
11.0,22.0,44.79994103641212,46.93659269884424,38.39731310295238,44.289280677644925,129.5
2.0,30.0,95.58879685043529,95.05932761242484,93.0692029290132,98.4943467111787,267.5
10.0,30.0,12.059987417816682,12.121445494368112,12.751543625097952,13.23681199886428,65.0
14.0,31.0,99.04468046306101,97.07815764746731,96.2228046471426,99.8136720099168,278.5
3.0,36.0,98.4259591509127,94.09290364044921,93.00203557441499,97.01503548031734,273.5
